,MODEL
0,160AC-FG
1,160AC-GG
2,160AC-NA
3,160AC-NG
4,160AC-NN
5,160AC-SG
6,200AC-NA
7,240AC-FG
8,240AC-GG
9,240AC-NA
10,240AC-NG
11,240AC-NN
12,240AC-SG
13,3XC-GG-A
14,3XC-GG-B
15,3XC-GG-C
16,3XC-NA-B
17,3XC-NA-C
18,3XC-NN-A
19,3XC-NN-B
20,3XC-NN-C
21,4XC-GG-B
22,4XC-GG-C
23,4XC-NN-B
24,4XC-NN-C
25,55AC-NA
26,55AC-NN
27,All-In-One-A
28,All-In-One-Al-A
29,All-In-One-Al-B
30,All-In-One-Al-C
31,All-In-One-Al-D
32,All-In-One-B
33,All-In-One-C
34,All-In-One-D
35,All-In-One-DD-A
36,All-In-One-DD-B
37,All-In-One-DD-C
38,All-In-One-DD-D
39,AR10-NCHR
40,AR5-NCHR
41,AR5T-NCHR
42,ARROW-FM
43,ARROW-FMR
44,ARROW-NC
45,ARROW-NCR
46,ARROW-UHFAuD
47,ATEC-CONT
48,ATEC-FM
49,ATEC-FMAu
50,ATEC-NC
51,biotool cell
52,biotool cell XXL
53,CONTR
54,DT-NCHR
55,EBD-NCH
56,FESP
57,FM
58,FMR
59,HiRes-C18/Cr-Au
60,HQ:CSC17
61,HQ:CSC37-A
62,HQ:CSC37-B
63,HQ:CSC37-C
64,HQ:CSC38-A
65,HQ:CSC38-B
66,HQ:CSC38-C
67,HQ:NSC14/Al BS
68,HQ:NSC14/Cr-Au BS
69,HQ:NSC14/No Al
70,HQ:NSC15/Al BS
71,HQ:NSC15/Cr-Au BS
72,HQ:NSC15/No Al
73,HQ:NSC16/Al BS
74,HQ:NSC16/Cr-Au BS
75,HQ:NSC16/No Al
76,HQ:NSC18/Al BS
77,HQ:NSC18/Cr-Au BS
78,HQ:NSC18/No Al
79,HQ:NSC19/Al BS
80,HQ:NSC19/Cr-Au
81,HQ:NSC19/No Al
82,HQ:NSC35/Al BS-A
83,HQ:NSC35/Al BS-B
84,HQ:NSC35/Al BS-C
85,HQ:NSC35/Cr-Au BS-A
86,HQ:NSC35/Cr-Au BS-B
87,HQ:NSC35/Cr-Au BS-C
88,HQ:NSC35/Cr-Au-A
89,HQ:NSC35/Cr-Au-B
90,HQ:NSC35/Cr-Au-C
91,HQ:NSC35/No Al-A
92,HQ:NSC35/No Al-B
93,HQ:NSC35/No Al-C
94,HQ:NSC36/Al BS-A
95,HQ:NSC36/Al BS-B
96,HQ:NSC36/Al BS-C
97,HQ:NSC36/Cr-Au BS-A
98,HQ:NSC36/Cr-Au BS-B
99,HQ:NSC36/Cr-Au BS-C
100,HQ:NSC36/Cr-Au-A
101,HQ:NSC36/Cr-Au-B
102,HQ:NSC36/Cr-Au-C
103,HQ:NSC36/No Al-A
104,HQ:NSC36/No Al-B
105,HQ:NSC36/No Al-C
106,HQ:XSC11/Al BS-A
107,HQ:XSC11/Al BS-B
108,HQ:XSC11/Al BS-C
109,HQ:XSC11/Al BS-D
110,HQ:XSC11/No Al-A
111,HQ:XSC11/No Al-B
112,HQ:XSC11/No Al-C
113,HQ:XSC11/No Al-D
114,LTESP
115,Multi75-G
116,Multi75Al-G
117,Multi75GB-G
118,Multi75GD-G
119,NCH
120,NCHR
