"MODEL","ID","Length [µm]","Width [µm]","Thickness [µm]","Resonance Frequency [KHz]","tip radius [nm]","Force Constant [N/m]","Cantilevers density [Kg/m^3]","Volume [µm^3]"
"160AC-FG","1","160.00","40.00","4.00","300.00","10.00","26.00","19300.00","25600.00"
"160AC-GG","2","160.00","40.00","4.00","300.00","30.00","26.00","19300.00","25600.00"
"160AC-NA","3","160.00","40.00","4.00","300.00","7.00","26.00","2330.00","25600.00"
"160AC-NG","4","160.00","40.00","4.00","300.00","7.00","26.00","19300.00","25600.00"
"160AC-NN","5","160.00","40.00","4.00","300.00","7.00","26.00","2330.00","25600.00"
"160AC-SG","6","160.00","40.00","4.00","300.00","1.00","26.00","19300.00","25600.00"
"200AC-NA","7","200.00","40.00","3.50","135.00","7.00","9.00","2330.00","28000.00"
"240AC-FG","8","240.00","40.00","2.60","70.00","10.00","2.00","19300.00","24960.00"
"240AC-GG","9","240.00","40.00","2.60","70.00","30.00","2.00","19300.00","24960.00"
"240AC-NA","10","240.00","40.00","2.60","70.00","7.00","2.00","2330.00","24960.00"
"240AC-NG","11","240.00","40.00","2.60","70.00","7.00","2.00","19300.00","24960.00"
"240AC-NN","12","240.00","40.00","2.60","70.00","7.00","2.00","2330.00","24960.00"
"240AC-SG","13","240.00","40.00","2.60","70.00","1.00","2.00","19300.00","24960.00"
"3XC-GG-A","14","500.00","30.00","3.00","17.00","30.00","0.30","2330.00","45000.00"
"3XC-GG-B","15","175.00","40.00","3.00","150.00","30.00","9.00","19300.00","21000.00"
"3XC-GG-C","16","240.00","30.00","3.00","75.00","30.00","2.50","19300.00","21600.00"
"3XC-NA-B","17","175.00","40.00","3.00","150.00","7.00","9.00","2330.00","21000.00"
"3XC-NA-C","18","240.00","30.00","3.00","75.00","7.00","2.50","2330.00","21600.00"
"3XC-NN-A","19","500.00","30.00","3.00","17.00","7.00","0.30","2330.00","45000.00"
"3XC-NN-B","20","175.00","40.00","3.00","150.00","7.00","9.00","2330.00","21000.00"
"3XC-NN-C","21","240.00","30.00","3.00","75.00","7.00","2.50","2330.00","21600.00"
"4XC-GG-B","22","240.00","30.00","3.00","75.00","30.00","2.50","19300.00","21600.00"
"4XC-GG-C","23","175.00","40.00","3.00","150.00","30.00","9.00","19300.00","21000.00"
"4XC-NN-B","24","240.00","30.00","3.00","75.00","7.00","2.50","2330.00","21600.00"
"4XC-NN-C","25","175.00","40.00","3.00","150.00","7.00","9.00","2330.00","21000.00"
"55AC-NA","26","65.00","31.00","2.90","1200.00","7.00","85.00","2330.00","5843.50"
"55AC-NN","27","65.00","31.00","2.90","1200.00","7.00","85.00","2330.00","5843.50"
"All-In-One-A","28","500.00","30.00","2.70","15.00","10.00","0.20","2330.00","40500.00"
"All-In-One-Al-A","29","500.00","30.00","2.70","15.00","10.00","0.20","2330.00","40500.00"
"All-In-One-Al-B","30","210.00","30.00","2.70","80.00","10.00","2.70","2330.00","17010.00"
"All-In-One-Al-C","31","150.00","30.00","2.70","150.00","10.00","7.40","2330.00","12150.00"
"All-In-One-Al-D","32","100.00","50.00","2.70","350.00","10.00","40.00","2330.00","13500.00"
"All-In-One-B","33","210.00","30.00","2.70","80.00","10.00","2.70","2330.00","17010.00"
"All-In-One-C","34","150.00","30.00","2.70","150.00","10.00","7.40","2330.00","12150.00"
"All-In-One-D","35","100.00","50.00","2.70","350.00","10.00","40.00","2330.00","13500.00"
"All-In-One-DD-A","36","500.00","30.00","2.70","19.00","250.00","0.50","2330.00","40500.00"
"All-In-One-DD-B","37","210.00","30.00","2.70","110.00","250.00","6.50","2330.00","17010.00"
"All-In-One-DD-C","38","150.00","30.00","2.70","200.00","250.00","18.00","2330.00","12150.00"
"All-In-One-DD-D","39","100.00","50.00","2.70","450.00","250.00","100.00","2330.00","13500.00"
"AR10-NCHR","40","125.00","30.00","4.00","320.00","20.00","42.00","2330.00","15000.00"
"AR5-NCHR","41","125.00","30.00","4.00","320.00","10.00","42.00","2330.00","15000.00"
"AR5T-NCHR","42","125.00","30.00","4.00","330.00","10.00","42.00","2330.00","15000.00"
"ARROW-FM","43","240.00","35.00","3.00","75.00","10.00","2.80","2330.00","25200.00"
"ARROW-FMR","44","240.00","35.00","3.00","75.00","10.00","2.80","2330.00","25200.00"
"ARROW-NC","45","160.00","45.00","4.60","285.00","10.00","42.00","2330.00","33120.00"
"ARROW-NCR","46","160.00","45.00","4.60","285.00","10.00","42.00","2330.00","33120.00"
"ARROW-UHFAuD","47","35.00","42.00","0.70","2000.00","10.00","30.00","19300.00","1029.00"
"ATEC-CONT","48","450.00","50.00","2.00","15.00","10.00","0.20","2330.00","45000.00"
"ATEC-FM","49","240.00","35.00","3.00","85.00","10.00","2.80","2330.00","25200.00"
"ATEC-FMAu","50","240.00","35.00","3.00","85.00","7.00","2.80","19300.00","25200.00"
"ATEC-NC","51","160.00","45.00","4.60","335.00","10.00","45.00","2330.00","33120.00"
"biotool cell","52","60.00","25.00","0.40","50.00","25.00","0.10","19300.00","600.00"
"biotool cell XXL","53","60.00","25.00","0.40","50.00","25.00","0.10","19300.00","600.00"
